
---------- Begin Simulation Statistics ----------
simSeconds                                   0.097253                       # Number of seconds simulated (Second)
simTicks                                  97253388500                       # Number of ticks simulated (Tick)
finalTick                                 97253388500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1507.49                       # Real time elapsed on the host (Second)
hostTickRate                                 64513575                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1042564                       # Number of bytes of host memory used (Byte)
simInsts                                    311384731                       # Number of instructions simulated (Count)
simOps                                      588855995                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   206559                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     390621                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        194506778                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.624651                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.600894                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       643527197                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   400769                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      635581487                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 100301                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             55071965                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          46495462                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved              388594                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           194247128                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.272025                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.303490                       # Number of insts issued each cycle (Count)
system.cpu.branchPred.corrected_0::Return           12      0.00%      0.00% # Number of branches that got corrected but not yet commited. Branches get corrected by decode or after execute. Also a branch misprediction can be detected out-of-order. Therefore, a corrected branch might not end up beeing committed in case an even earlier branch was mispredicted (Count)
system.cpu.branchPred.corrected_0::CallDirect        50240      3.99%      3.99% # Number of branches that got corrected but not yet commited. Branches get corrected by decode or after execute. Also a branch misprediction can be detected out-of-order. Therefore, a corrected branch might not end up beeing committed in case an even earlier branch was mispredicted (Count)
system.cpu.branchPred.corrected_0::CallIndirect           80      0.01%      4.00% # Number of branches that got corrected but not yet commited. Branches get corrected by decode or after execute. Also a branch misprediction can be detected out-of-order. Therefore, a corrected branch might not end up beeing committed in case an even earlier branch was mispredicted (Count)
system.cpu.branchPred.corrected_0::DirectCond      1157382     92.00%     96.00% # Number of branches that got corrected but not yet commited. Branches get corrected by decode or after execute. Also a branch misprediction can be detected out-of-order. Therefore, a corrected branch might not end up beeing committed in case an even earlier branch was mispredicted (Count)
system.cpu.branchPred.corrected_0::DirectUncond        50247      3.99%    100.00% # Number of branches that got corrected but not yet commited. Branches get corrected by decode or after execute. Also a branch misprediction can be detected out-of-order. Therefore, a corrected branch might not end up beeing committed in case an even earlier branch was mispredicted (Count)
system.cpu.branchPred.corrected_0::IndirectCond            0      0.00%    100.00% # Number of branches that got corrected but not yet commited. Branches get corrected by decode or after execute. Also a branch misprediction can be detected out-of-order. Therefore, a corrected branch might not end up beeing committed in case an even earlier branch was mispredicted (Count)
system.cpu.branchPred.corrected_0::IndirectUncond           60      0.00%    100.00% # Number of branches that got corrected but not yet commited. Branches get corrected by decode or after execute. Also a branch misprediction can be detected out-of-order. Therefore, a corrected branch might not end up beeing committed in case an even earlier branch was mispredicted (Count)
system.cpu.branchPred.corrected_0::total      1258021                       # Number of branches that got corrected but not yet commited. Branches get corrected by decode or after execute. Also a branch misprediction can be detected out-of-order. Therefore, a corrected branch might not end up beeing committed in case an even earlier branch was mispredicted (Count)
system.cpu.branchPred.earlyResteers_0::NoBranch            0                       # Number of branches that got redirected after decode. (Count)
system.cpu.branchPred.earlyResteers_0::Return            0                       # Number of branches that got redirected after decode. (Count)
system.cpu.branchPred.earlyResteers_0::CallDirect            0                       # Number of branches that got redirected after decode. (Count)
system.cpu.branchPred.earlyResteers_0::CallIndirect            0                       # Number of branches that got redirected after decode. (Count)
system.cpu.branchPred.earlyResteers_0::DirectCond            0                       # Number of branches that got redirected after decode. (Count)
system.cpu.branchPred.earlyResteers_0::DirectUncond            0                       # Number of branches that got redirected after decode. (Count)
system.cpu.branchPred.earlyResteers_0::IndirectCond            0                       # Number of branches that got redirected after decode. (Count)
system.cpu.branchPred.earlyResteers_0::IndirectUncond            0                       # Number of branches that got redirected after decode. (Count)
system.cpu.branchPred.earlyResteers_0::total            0                       # Number of branches that got redirected after decode. (Count)
system.cpu.branchPred.committed_0::NoBranch            0      0.00%      0.00% # Number of branches finally committed  (Count)
system.cpu.branchPred.committed_0::Return      3141354      4.23%      4.23% # Number of branches finally committed  (Count)
system.cpu.branchPred.committed_0::CallDirect      1972669      2.66%      6.88% # Number of branches finally committed  (Count)
system.cpu.branchPred.committed_0::CallIndirect      1168689      1.57%      8.46% # Number of branches finally committed  (Count)
system.cpu.branchPred.committed_0::DirectCond     61117204     82.28%     90.74% # Number of branches finally committed  (Count)
system.cpu.branchPred.committed_0::DirectUncond      6281431      8.46%     99.19% # Number of branches finally committed  (Count)
system.cpu.branchPred.committed_0::IndirectCond            0      0.00%     99.19% # Number of branches finally committed  (Count)
system.cpu.branchPred.committed_0::IndirectUncond       600221      0.81%    100.00% # Number of branches finally committed  (Count)
system.cpu.branchPred.committed_0::total     74281568                       # Number of branches finally committed  (Count)
system.cpu.branchPred.mispredicted_0::NoBranch            0      0.00%      0.00% # Number of committed branches that were mispredicted. (Count)
system.cpu.branchPred.mispredicted_0::Return            4      0.00%      0.00% # Number of committed branches that were mispredicted. (Count)
system.cpu.branchPred.mispredicted_0::CallDirect        50091      4.43%      4.43% # Number of committed branches that were mispredicted. (Count)
system.cpu.branchPred.mispredicted_0::CallIndirect           70      0.01%      4.43% # Number of committed branches that were mispredicted. (Count)
system.cpu.branchPred.mispredicted_0::DirectCond      1031418     91.13%     95.57% # Number of committed branches that were mispredicted. (Count)
system.cpu.branchPred.mispredicted_0::DirectUncond        50134      4.43%     99.99% # Number of committed branches that were mispredicted. (Count)
system.cpu.branchPred.mispredicted_0::IndirectCond            0      0.00%     99.99% # Number of committed branches that were mispredicted. (Count)
system.cpu.branchPred.mispredicted_0::IndirectUncond           58      0.01%    100.00% # Number of committed branches that were mispredicted. (Count)
system.cpu.branchPred.mispredicted_0::total      1131775                       # Number of committed branches that were mispredicted. (Count)
system.cpu.branchPred.targetProvider_0::NoTarget     42672115     51.44%     51.44% # The component providing the target for taken branches (Count)
system.cpu.branchPred.targetProvider_0::BTB     34367825     41.43%     92.87% # The component providing the target for taken branches (Count)
system.cpu.branchPred.targetProvider_0::RAS      3998712      4.82%     97.69% # The component providing the target for taken branches (Count)
system.cpu.branchPred.targetProvider_0::Indirect      1914291      2.31%    100.00% # The component providing the target for taken branches (Count)
system.cpu.branchPred.targetProvider_0::total     82952943                       # The component providing the target for taken branches (Count)
system.cpu.branchPred.targetWrong_0::NoBranch       499701     39.81%     39.81% # Number of branches where the target was incorrect or not available at prediction time. (Count)
system.cpu.branchPred.targetWrong_0::Return       755514     60.19%    100.00% # Number of branches where the target was incorrect or not available at prediction time. (Count)
system.cpu.branchPred.targetWrong_0::CallDirect           12      0.00%    100.00% # Number of branches where the target was incorrect or not available at prediction time. (Count)
system.cpu.branchPred.targetWrong_0::CallIndirect            0      0.00%    100.00% # Number of branches where the target was incorrect or not available at prediction time. (Count)
system.cpu.branchPred.targetWrong_0::DirectCond            0      0.00%    100.00% # Number of branches where the target was incorrect or not available at prediction time. (Count)
system.cpu.branchPred.targetWrong_0::DirectUncond            0      0.00%    100.00% # Number of branches where the target was incorrect or not available at prediction time. (Count)
system.cpu.branchPred.targetWrong_0::IndirectCond            0      0.00%    100.00% # Number of branches where the target was incorrect or not available at prediction time. (Count)
system.cpu.branchPred.targetWrong_0::IndirectUncond            0      0.00%    100.00% # Number of branches where the target was incorrect or not available at prediction time. (Count)
system.cpu.branchPred.targetWrong_0::total      1255227                       # Number of branches where the target was incorrect or not available at prediction time. (Count)
system.cpu.branchPred.condPredicted          67643514                       # Number of conditional branches predicted (Count)
system.cpu.branchPred.condPredictedTaken     25252474                       # Number of conditional branches predicted as taken (Count)
system.cpu.branchPred.condIncorrect           1258021                       # Number of conditional branches incorrect (Count)
system.cpu.branchPred.predTakenBTBMiss         100701                       # Number of branches predicted taken but missed in BTB (Count)
system.cpu.branchPred.NotTakenMispredicted       700678                       # Number branches predicted 'not taken' but turned out to be taken (Count)
system.cpu.branchPred.TakenMispredicted        557343                       # Number branches predicted taken but are actually not taken (Count)
system.cpu.branchPred.BTBLookups             82952943                       # Number of BTB lookups (Count)
system.cpu.branchPred.BTBUpdates               700526                       # Number of BTB updates (Count)
system.cpu.branchPred.BTBHits                46266198                       # Number of BTB hits (Count)
system.cpu.branchPred.BTBHitRatio            0.557740                       # BTB Hit Ratio (Ratio)
system.cpu.branchPred.BTBMispredicted          101009                       # Number BTB mispredictions. No target found or target wrong (Count)
system.cpu.branchPred.indirectLookups         1914685                       # Number of indirect predictor lookups. (Count)
system.cpu.branchPred.indirectHits            1914291                       # Number of indirect target hits. (Count)
system.cpu.branchPred.indirectMisses              394                       # Number of indirect misses. (Count)
system.cpu.branchPred.indirectMispredicted            0                       # Number of mispredicted indirect branches. (Count)
system.cpu.branchPred.btb.lookups::NoBranch            0      0.00%      0.00% # Number of BTB lookups (Count)
system.cpu.branchPred.btb.lookups::Return      3998712      4.82%      4.82% # Number of BTB lookups (Count)
system.cpu.branchPred.btb.lookups::CallDirect      2250533      2.71%      7.53% # Number of BTB lookups (Count)
system.cpu.branchPred.btb.lookups::CallIndirect      1314111      1.58%      9.12% # Number of BTB lookups (Count)
system.cpu.branchPred.btb.lookups::DirectCond     67643514     81.54%     90.66% # Number of BTB lookups (Count)
system.cpu.branchPred.btb.lookups::DirectUncond      7145499      8.61%     99.28% # Number of BTB lookups (Count)
system.cpu.branchPred.btb.lookups::IndirectCond            0      0.00%     99.28% # Number of BTB lookups (Count)
system.cpu.branchPred.btb.lookups::IndirectUncond       600574      0.72%    100.00% # Number of BTB lookups (Count)
system.cpu.branchPred.btb.lookups::total     82952943                       # Number of BTB lookups (Count)
system.cpu.branchPred.btb.misses::NoBranch            0      0.00%      0.00% # Number of BTB misses (Count)
system.cpu.branchPred.btb.misses::Return      3919542     10.68%     10.68% # Number of BTB misses (Count)
system.cpu.branchPred.btb.misses::CallDirect        26632      0.07%     10.76% # Number of BTB misses (Count)
system.cpu.branchPred.btb.misses::CallIndirect      1314111      3.58%     14.34% # Number of BTB misses (Count)
system.cpu.branchPred.btb.misses::DirectCond     30725493     83.75%     98.09% # Number of BTB misses (Count)
system.cpu.branchPred.btb.misses::DirectUncond       100393      0.27%     98.36% # Number of BTB misses (Count)
system.cpu.branchPred.btb.misses::IndirectCond            0      0.00%     98.36% # Number of BTB misses (Count)
system.cpu.branchPred.btb.misses::IndirectUncond       600574      1.64%    100.00% # Number of BTB misses (Count)
system.cpu.branchPred.btb.misses::total      36686745                       # Number of BTB misses (Count)
system.cpu.branchPred.btb.updates::NoBranch            0      0.00%      0.00% # Number of BTB updates (Count)
system.cpu.branchPred.btb.updates::Return            0      0.00%      0.00% # Number of BTB updates (Count)
system.cpu.branchPred.btb.updates::CallDirect        50240      7.17%      7.17% # Number of BTB updates (Count)
system.cpu.branchPred.btb.updates::CallIndirect            0      0.00%      7.17% # Number of BTB updates (Count)
system.cpu.branchPred.btb.updates::DirectCond       600039     85.66%     92.83% # Number of BTB updates (Count)
system.cpu.branchPred.btb.updates::DirectUncond        50247      7.17%    100.00% # Number of BTB updates (Count)
system.cpu.branchPred.btb.updates::IndirectCond            0      0.00%    100.00% # Number of BTB updates (Count)
system.cpu.branchPred.btb.updates::IndirectUncond            0      0.00%    100.00% # Number of BTB updates (Count)
system.cpu.branchPred.btb.updates::total       700526                       # Number of BTB updates (Count)
system.cpu.branchPred.btb.mispredict::NoBranch            0      0.00%      0.00% # Number of BTB mispredictions. No target found or target wrong. (Count)
system.cpu.branchPred.btb.mispredict::Return            0      0.00%      0.00% # Number of BTB mispredictions. No target found or target wrong. (Count)
system.cpu.branchPred.btb.mispredict::CallDirect        50240      7.17%      7.17% # Number of BTB mispredictions. No target found or target wrong. (Count)
system.cpu.branchPred.btb.mispredict::CallIndirect            0      0.00%      7.17% # Number of BTB mispredictions. No target found or target wrong. (Count)
